date,address,county,price,desc,region,latitude,longitude,apt,ed,suffix
193,"23 Faha Court, Faha, Killarney",Kerry,120000.0,Second-Hand Dwelling house /Apartment,Munster,51.84811060000001,-10.346024,No,St. Finan's,court
193,"11 BELFRY HEIGHTS, BANDON, CO. CORK",Cork,290000.0,Second-Hand Dwelling house /Apartment,Munster,51.7400889,-8.7372301,No,Ballymodan,heights
193,"131 Killala Road, Cabra",Dublin,190000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3679941,-6.3002183,No,Cabra West B,road
193,"16 Raheen Road, Springfield, Dublin 24",Dublin,170000.0,Second-Hand Dwelling house /Apartment,Leinster,53.2848356,-6.3894818,No,Tallaght-Springfield,road
193,"19 Rowan Park, Lismonaghan, Letterkenny",Donegal,178000.0,Second-Hand Dwelling house /Apartment,Ulster,54.93788539999999,-7.731864999999999,No,Corravaddy,park
193,"20 St. MIchael's Terrace, Arklow",Wicklow,85000.0,Second-Hand Dwelling house /Apartment,Leinster,52.792311100000006,-6.1483058,No,Arklow No 1 Urban,terrace
193,"5 Saint Nicholas Place, Dublin 8",Dublin,107000.0,Second-Hand Dwelling house /Apartment,Leinster,53.34170450000001,-6.2729370000000015,No,Merchants Quay B,place
193,"26 Olaf Road, Stoneybatter, Dublin 7",Dublin,160000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3513438,-6.2843573999999975,No,Arran Quay E,road
193,"29 Millbrook Drive, Midleton",Cork,177500.0,Second-Hand Dwelling house /Apartment,Munster,51.9200129,-8.180282199999999,No,Midleton Rural,drive
193,"35 Carn na Ree, Old Singland Road",Limerick,180000.0,Second-Hand Dwelling house /Apartment,Munster,52.6590029,-8.5890287,No,Limerick South Rural,road
193,"35 Knightswood, Legavooren, Drogheda",Meath,124850.0,Second-Hand Dwelling house /Apartment,Leinster,53.69965449999999,-6.366211499999999,No,St. Mary's,
193,"38 The Crescent, Loughbollard, Clane",Kildare,150000.0,Second-Hand Dwelling house /Apartment,Leinster,53.2998471,-6.6904146,No,Clane,the
193,"40 Herbert Park, Bray",Wicklow,270000.0,Second-Hand Dwelling house /Apartment,Leinster,53.1918082,-6.1276673,No,Kilmacanoge,park
193,"41  Beal an Inbhir, Kilrush",Clare,162000.0,Second-Hand Dwelling house /Apartment,Munster,52.6363984,-9.500295800000002,No,Kilrush Urban,
193,"41 Pacelli Road, Naas",Kildare,160000.0,Second-Hand Dwelling house /Apartment,Leinster,53.21791959999999,-6.6710674,No,Naas Rural,road
193,"418 Pearse Villas, Sallynoggin, Dun Laoghaire",Dublin,285000.0,Second-Hand Dwelling house /Apartment,Leinster,53.27271090000001,-6.1392623,No,Dun Laoghaire-Sallynoggin South,
193,"30 Mount Ivers, Sixmilebridge",Clare,110000.0,Second-Hand Dwelling house /Apartment,Munster,52.7473894,-8.7725665,No,Mountievers,mount
193,"11 Meadowbrook Close, Maynooth",Kildare,215000.0,Second-Hand Dwelling house /Apartment,Leinster,53.37428999999999,-6.5979410000000005,No,Maynooth,close
194,"105 DRISIN, BALLYMONEEN ROAD",Galway,285000.0,Second-Hand Dwelling house /Apartment,Connacht,53.2716394,-9.118472099999998,No,Barna,road
194,"11 Silversprings Road, Mayfield, Cork",Cork,250000.0,Second-Hand Dwelling house /Apartment,Munster,51.9129416,-8.4290282,No,Tivoli B,road
194,"1 RIVERWOOD GROVE, CARPENTERSTOWN ROAD, CASTLEKNOCK",Dublin,374000.0,Second-Hand Dwelling house /Apartment,Leinster,53.37729,-6.3936053999999976,No,Castleknock-Knockmaroon,grove
194,"36 GLENARD CRESCENT, SALTHILL, GALWAY",Galway,435000.0,Second-Hand Dwelling house /Apartment,Connacht,53.2666951,-9.082554,No,Rockbarton,
194,"103 Shamrock Drive, Muskerry Estate, Ballincollig",Cork,210000.0,Second-Hand Dwelling house /Apartment,Munster,51.88585429999999,-8.594391499999999,No,Ballincollig,drive
194,"12A FOREST HILLS, DROGHEDA",Louth,232500.0,Second-Hand Dwelling house /Apartment,Leinster,53.72542379999999,-6.341612400000002,No,Fair Gate,
194,"33 Palmer Park, Rathfarnham",Dublin,70000.0,Second-Hand Dwelling house /Apartment,Leinster,53.2808782,-6.2920111000000025,No,Edmondstown,park
194,"9 Dun Emer Avenue, Lusk, Dublin",Dublin,250000.0,Second-Hand Dwelling house /Apartment,Leinster,53.5262141,-6.1817255,No,Lusk,avenue
194,"Inver Village, Inver",Donegal,120000.0,Second-Hand Dwelling house /Apartment,Ulster,54.65235010000001,-8.289339499999999,No,Inver,
194,"96 edgewood lawn, blanchardstown, dublin",Dublin,200000.0,Second-Hand Dwelling house /Apartment,Leinster,53.39624,-6.3816238,No,Blanchardstown-Corduff,lawn
194,"18 The Court, Cnoc na Greine, Kilcullen",Kildare,205000.0,Second-Hand Dwelling house /Apartment,Leinster,53.1289423,-6.7590099000000015,No,Kilcullen,the
194,"96 edgewood lawn, blanchardstown, dublin 15",Dublin,200000.0,Second-Hand Dwelling house /Apartment,Leinster,53.39624,-6.3816238,No,Blanchardstown-Corduff,lawn
194,"99 St Bridgets Place, Sligo",Sligo,110000.0,Second-Hand Dwelling house /Apartment,Connacht,54.2654171,-8.4704329,No,Sligo East,street
194,"Kilbarry, Lissarda",Cork,250000.0,Second-Hand Dwelling house /Apartment,Munster,51.8531,-8.870400000000002,No,Warrenscourt,
194,"Apartment 15, Tonlegee Court, Athy",Kildare,115000.0,New Dwelling house /Apartment,Leinster,52.9838616,-6.9901091,Yes,Athy Rural,apartment
194,"Apartment 27, Charlestown Green, St. Margarets Road",Dublin,150000.0,Second-Hand Dwelling house /Apartment,Leinster,53.40645190000001,-6.2883377000000005,Yes,Dubber,apartment
194,"Apartment 39, Sli Bhearu, Cois Bhearu  Athy",Kildare,110000.0,New Dwelling house /Apartment,Leinster,52.99985599999999,-6.985550900000002,Yes,Athy Rural,apartment
194,"Ballyglass, Kilmovee",Mayo,170000.0,Second-Hand Dwelling house /Apartment,Connacht,53.88834610000001,-8.688208699999999,No,Kilmovee,
194,"17 Temple Cottages, Broadstone",Dublin,177000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3538957,-6.2716325999999984,No,Inns Quay C,
194,"Carraigoran, Moneymore West, Oranmore",Galway,419000.0,Second-Hand Dwelling house /Apartment,Connacht,53.255787,-8.907167999999997,No,Oranmore,
194,"133 Rusheen Ard, Caltragh, Sligo",Sligo,186000.0,Second-Hand Dwelling house /Apartment,Connacht,54.2584007,-8.4718845,No,Sligo West,
194,"Dunroe, Borris",Carlow,127000.0,Second-Hand Dwelling house /Apartment,Leinster,52.6308885,-6.886990700000001,No,Killedmond,
194,"GARRANDARRAGH, MULLINAVAT",Kilkenny,140000.0,Second-Hand Dwelling house /Apartment,Leinster,52.3724616,-7.170611299999999,No,Killahy,
194,"GOLF COURSE ROAD, CORNAGILL, LETTERKENNY",Donegal,350000.0,Second-Hand Dwelling house /Apartment,Ulster,54.96545949999999,-7.690997,No,Castlewray,road
194,"St Joseph's, 11 Dublin Road, Bray",Wicklow,400000.0,Second-Hand Dwelling house /Apartment,Leinster,53.2242397,-6.1265731,No,Shankhill-Rathmichael,street
194,"13 St. Mochtas Chase, Coolmine, Dublin 15",Dublin,255000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3821252,-6.3983838,No,Blanchardstown-Delwood,
194,"Knockenagh South, Listowel",Kerry,70000.0,Second-Hand Dwelling house /Apartment,Munster,52.4460488,-9.4853655,No,Listowel Urban,
194,"87 Mountain View, Crinken Glen, Shankill",Dublin,273000.0,Second-Hand Dwelling house /Apartment,Leinster,53.2282301,-6.1286537,No,Shankhill-Rathmichael,view
194,"78 Clifden Glen, Couravoughil, Clifden",Galway,250000.0,Second-Hand Dwelling house /Apartment,Connacht,53.4872358,-9.9842956,No,Derrylea,
194,"38  De La Salle Crescent, Ardee",Louth,160000.0,Second-Hand Dwelling house /Apartment,Leinster,53.8510488,-6.5328369,No,Ardee Rural,
194,"41  Brookvale, Banduff, Ballyvolane",Cork,252000.0,Second-Hand Dwelling house /Apartment,Munster,51.91709820000001,-8.4452639,No,Rathcooney,
194,"13 Glenlara Park, Westport",Mayo,182000.0,Second-Hand Dwelling house /Apartment,Connacht,53.803573,-9.5146631,No,Westport Urban,park
194,"47 Glencarraig, Balinode",Sligo,182000.0,Second-Hand Dwelling house /Apartment,Connacht,54.2760164,-8.456166699999999,No,Sligo North,
194,"47 The Meadows, Classes Lake, Ovens",Cork,362500.0,Second-Hand Dwelling house /Apartment,Munster,51.88188020000001,-8.626844,No,Ovens,the
194,"5 Fairgreen, Thomastown",Kilkenny,176000.0,Second-Hand Dwelling house /Apartment,Leinster,52.52907729999999,-7.1389451999999975,No,Thomastown,
194,"5 Hilltop, Raheen",Limerick,162000.0,Second-Hand Dwelling house /Apartment,Munster,52.6335946,-8.648887799999999,No,Ballycummin,
194,"5 Rathbride Close, Kildate Town",Kildare,313000.0,Second-Hand Dwelling house /Apartment,Leinster,53.1677784,-6.9058619000000006,No,Kildare,close
194,"8 Bianconi Close, Banagher Court, Piltown",Kilkenny,145000.0,Second-Hand Dwelling house /Apartment,Leinster,52.3526665,-7.3318208999999985,No,Pilltown,close
194,"3  Parkview Close, Buttevant",Cork,175000.0,Second-Hand Dwelling house /Apartment,Munster,52.235189,-8.672091199999999,No,Buttevant,close
194,"26 Pic du Jer Park, Ballinlough Road, Cork",Cork,250000.0,Second-Hand Dwelling house /Apartment,Munster,51.8877515,-8.4495347,No,Ballinlough B,park
194,"23 Crosthwaite Park West, Dun Laoghaire",Dublin,730000.0,Second-Hand Dwelling house /Apartment,Leinster,53.28629870000001,-6.1350276999999975,No,Dun Laoghaire-Glenageary,park
