,uid,zoom,desc
647,E08071,edist,Portlaoighise (Maryborough) Rural
648,E08072,edist,Portlaoighise (Maryborough) Urban
649,E08073,edist,Rearymore
650,E08074,edist,Rosenallis
651,E08075,edist,Sallyford
652,E08076,edist,Shaen
653,E08077,edist,Tinnahinch
654,E08078,edist,Trumra
655,E08079,edist,Ballybrophy
656,E08080,edist,Borris-in-Ossory
657,E08081,edist,Clonmore
658,E08082,edist,Errill
659,E08083,edist,Kyle
660,E08084,edist,Kyle South
661,E08085,edist,Moneenalassa
662,E08086,edist,Moneymore
663,E08087,edist,Rathsaran
664,E08088,edist,Ardough
665,E08089,edist,Arless
666,E08090,edist,Ballickmoyler
667,E08091,edist,Ballylehane
668,E08092,edist,Doonane
669,E08093,edist,Farnans
670,E08094,edist,Graigue Rural
671,E08095,edist,Newtown
672,E08096,edist,Rossmore
673,E08097,edist,Shrule
674,E08098,edist,Turra
675,E09001,edist,Longford No. 1 Urban
676,E09002,edist,Longford No. 2 Urban
677,E09003,edist,Agharra
678,E09004,edist,Ballymahon
679,E09005,edist,Cashel East
680,E09006,edist,Cashel West
681,E09007,edist,Doory
682,E09008,edist,Forgney
683,E09009,edist,Foxhall
684,E09010,edist,Kilcommock
685,E09011,edist,Kilglass
686,E09012,edist,Ledwithstown
687,E09013,edist,Abbeylara
688,E09014,edist,Ballinalee
689,E09015,edist,Ballymuigh
690,E09016,edist,Bunlahy
691,E09017,edist,Columbkille
692,E09018,edist,Coolamber
693,E09019,edist,Creevy
694,E09020,edist,Crosagstown
695,E09021,edist,Currygrane
696,E09022,edist,Dalystown
697,E09023,edist,Drummeel
698,E09024,edist,Firry / Newgrove
699,E09025,edist,Gelshagh
700,E09026,edist,Granard Rural
701,E09027,edist,Granard Urban
702,E09028,edist,Knockanbaun
703,E09029,edist,Lislea
704,E09030,edist,Meathas Truim
705,E09031,edist,Milltown
706,E09032,edist,Moatfarrell
707,E09033,edist,Moyne
708,E09034,edist,Mullanalaghta
709,E09036,edist,Sonnagh
710,E09037,edist,Aghaboy
711,E09038,edist,Ardagh East
712,E09039,edist,Ardagh West
713,E09040,edist,Ballinamuck East
714,E09041,edist,Ballinamuck West
715,E09042,edist,Breanrisk
716,E09043,edist,Caldragh
717,E09044,edist,Cloondara
