ed,mean,std
Castledermot,102250.0,38954.8106493572
Castleffrench,27000.0,
Castlefinn,67800.0,76948.10661160618
Castleforward,79428.57142857143,36646.31469810274
Castlegar,115000.0,
Castlegregory,187354.11111111112,98489.37469144126
Castlehaven North,195200.0,97237.8527117912
Castlehaven South,236000.0,76367.53236814713
Castleisland,95230.43478260869,62265.475876813216
Castlekeeran,232500.0,236880.77169749342
Castleknock-Knockmaroon,352161.91066997516,173912.3136965737
Castleknock-Park,597338.3983050848,285122.7574790619
Castlelost,101438.09523809524,28015.89684786971
Castlelyons,230000.0,339305.17237436865
Castlemagner,130400.0,
Castlemartyr,156357.14285714287,51748.36091262077
Castleplunket,80000.0,
Castlequin,115000.0,35355.33905932738
Castlerahan,90650.0,22132.44225113894
Castlereagh,57093.75,34221.62999737768
Castlerichard,56255.0,
Castlerickard,151563.04347826086,49924.17481767022
Castlering,189166.66666666666,33631.58237926567
Castlesaunderson,140000.0,
Castleshane,130000.0,35468.2957019364
Castletaylor,158000.0,44757.68090506925
Castleteheen,92500.0,10606.601717798212
Castletown,156944.34782608695,92932.96462509771
Castletownroche,170250.0,87864.95319523023
Castleventry,60000.0,
Castlewray,142324.68085106384,99449.24781342893
Causeway,105250.0,59750.52301026326
Cavan Rural,130255.5425531915,81410.39306146912
Cavan Urban,58913.194444444445,38844.946372287406
Cavangarden,120333.33333333333,43247.350593225165
Ceanannas MÃÂÃÂ³r Rural,134166.70454545456,60959.80900808749
Celbridge,250767.702811245,76858.43204706887
Centre A,72090.90909090909,56012.88890017835
Centre B,82828.57142857143,33954.95615693014
Chapelizod,245166.9516129032,124432.14464174907
Cherry Orchard A,118272.72727272728,33097.102317547105
Cherry Orchard C,148404.54545454544,52669.96513453115
Church Hill,35000.0,15000.0
Churchfield,110666.66666666667,29852.41475436563
Churchtown,108102.63157894737,48972.55601548747
Churchtown Nutgrove,284930.92307692306,94676.05458422216
Churchtown-Castle,353603.5714285714,103373.66769133073
Churchtown-Landscape,471354.1666666667,146181.87593354133
Churchtown-Orwell,463159.72222222225,184029.91946941844
Churchtown-Woodlawn,548321.4285714285,256184.55815316903
Cill AinnÃÂÃÂ­n,126000.0,70057.11955254797
City Hall A,127500.0,
City Hall B,232666.66666666666,109701.86871699133
Claddagh,273857.14285714284,163334.88823360956
Clane,198626.2626262626,85136.81496520831
Clara,109835.0,116880.11510814108
Clareabbey,130760.0,61359.955725755426
Claregalway,170550.0,84204.93484726165
Claremorris,108815.78947368421,51098.26530252719
Claretuam,104892.85714285714,66802.54753482727
Clarina,247916.66666666666,110370.00443412096
Clarinbridge,235735.44,107351.59381632155
Clashmore,112500.0,
Cleaboy,120458.33333333333,38617.104980843
Cleggan,141500.0,10606.601717798212
Clenagh,107087.52666666667,53824.784097198404
Clenor,155000.0,
Clifden,106584.70588235294,77606.58462057577
Cliff,145000.0,
Cliffony North,185000.0,88111.29326028531
Cliffony South,81750.0,33984.064893221155
Clogh,45100.0,19046.97542202627
Cloghan,112738.625,57494.93238026038
Cloghane,92500.0,
Cloghard,135333.33333333334,54638.20397243428
Cloghaun,121500.0,82585.30942808976
Cloghbrack,180000.0,14142.13562373095
Cloghdonnell,150000.0,113137.0849898476
Clogheen,62500.0,41144.345211184766
Clogher,177535.7142857143,85211.3851473508
Cloghera,187125.0,69959.9587859608
Clogherbrien,304000.0,116425.9421263148
Cloghjordan,72071.42857142857,44490.64601034224
Cloghprior,2010000.0,0.0
Clogrenan,75000.0,
Clonakilty Rural,283607.14285714284,131977.00536477915
Clonakilty Urban,166929.05128205128,91079.74846880174
Clonarney,125000.0,77781.74593052022
Clonaslee,95000.0,56789.08345800274
Clonbeg,260000.0,0.0
Clonbern,18000.0,
